"","INSTNM","LATITUDE","LONGITUDE","ADM_RATE","AANAPII","HSI","WOMENONLY","RELAFFIL"
"300","Western University of Health Sciences",34.0581,-117.7477,NA,FALSE,FALSE,FALSE,"NULL"
"301","Columbia College",38.0304,-120.3876,NA,FALSE,FALSE,FALSE,"NULL"
"302","Columbia College-Hollywood",34.1796,-118.5384,54.8,FALSE,FALSE,FALSE,"NULL"
"303","El Camino College-Compton Center",33.8767,-118.2092,NA,FALSE,TRUE,FALSE,"NULL"
"304","Contra Costa College",37.9686,-122.3424,NA,FALSE,FALSE,FALSE,"NULL"
"305","Cosumnes River College",38.4538,-121.423,NA,FALSE,FALSE,FALSE,"NULL"
"306","Crafton Hills College",34.0385,-117.1008,NA,FALSE,TRUE,FALSE,"NULL"
"307","Cuesta College",35.3299,-120.7416,NA,FALSE,FALSE,FALSE,"NULL"
"308","Cuyamaca College",32.7431,-116.941,NA,FALSE,FALSE,FALSE,"NULL"
"309","Cypress College",33.8276,-118.0239,NA,FALSE,TRUE,FALSE,"NULL"
"310","De Anza College",37.3192,-122.0454,NA,FALSE,FALSE,FALSE,"NULL"
"311","Marinello Schools of Beauty-Hemet",33.746,-116.9999,NA,FALSE,FALSE,FALSE,"NULL"
"312","International School of Beauty Inc",33.7296,-116.4039,NA,FALSE,FALSE,FALSE,"NULL"
"313","Dell'Arte International School of Physical Theatre",40.8809,-123.9889,66.67,FALSE,FALSE,FALSE,"NULL"
"314","College of the Desert",33.7325,-116.3876,NA,FALSE,TRUE,FALSE,"NULL"
"315","Design Institute of San Diego",32.731,-117.1498,NA,FALSE,FALSE,FALSE,"NULL"
"316","Diablo Valley College",37.968,-122.0699,NA,FALSE,FALSE,FALSE,"NULL"
"317","Dominican University of California",37.98,-122.5147,77.52,FALSE,FALSE,FALSE,"NULL"
"318","Dominican School of Philosophy & Theology",37.8811,-122.2646,NA,FALSE,FALSE,FALSE,"30"
"319","East Los Angeles College",34.0392,-118.1484,NA,FALSE,FALSE,FALSE,"NULL"
"320","Marinello Schools of Beauty-Santa Clara",37.348,-121.9478,NA,FALSE,FALSE,FALSE,"NULL"
"321","El Camino Community College District",33.8856,-118.3266,NA,FALSE,FALSE,FALSE,"NULL"
"322","Elegance International",34.0622,-118.3383,NA,FALSE,FALSE,FALSE,"NULL"
"323","Marinello Schools of Beauty-Burbank",34.1819,-118.3097,NA,FALSE,FALSE,FALSE,"NULL"
"324","Marinello Schools of Beauty-Moreno Valley",33.916,-117.2281,NA,FALSE,FALSE,FALSE,"NULL"
"325","Emperor's College of Traditional Oriental Medicine",34.0303,-118.4847,NA,FALSE,FALSE,FALSE,"NULL"
"326","Empire College School of Business",38.4678,-122.7286,NA,FALSE,FALSE,FALSE,"NULL"
"327","Evergreen Valley College",37.3017,-121.7667,NA,FALSE,TRUE,FALSE,"NULL"
"328","Fashion Institute of Design & Merchandising-Los Angeles",34.0442,-118.2599,57.01,FALSE,FALSE,FALSE,"NULL"
"329","Fashion Institute of Design & Merchandising-San Francisco",37.7863,-122.4065,63.58,FALSE,FALSE,FALSE,"NULL"
"330","Fashion Institute of Design & Merchandising-Orange County",33.692,-117.8523,69.15,FALSE,FALSE,FALSE,"NULL"
"331","Feather River Community College District",39.9524,-120.9709,NA,FALSE,FALSE,FALSE,"NULL"
"332","Federico Beauty Institute",38.6488,-121.4978,NA,FALSE,FALSE,FALSE,"NULL"
"333","Fielding Graduate University",34.4344,-119.7139,NA,FALSE,FALSE,FALSE,"NULL"
"334","Five Branches University",36.9641,-121.9985,NA,FALSE,FALSE,FALSE,"NULL"
"335","Hair California Beauty Academy",33.8058,-117.8367,NA,FALSE,FALSE,FALSE,"NULL"
"336","Foothill College",37.3611,-122.1283,NA,FALSE,FALSE,FALSE,"NULL"
"337","Franciscan School of Theology",37.8771,-122.2609,NA,FALSE,FALSE,FALSE,"30"
"338","Fredrick and Charles Beauty College",40.7988,-124.1658,NA,FALSE,FALSE,FALSE,"NULL"
"339","Fresno City College",36.7675,-119.7951,NA,FALSE,TRUE,FALSE,"NULL"
"340","Fresno Pacific University",36.7253,-119.732,78.44,FALSE,FALSE,FALSE,"43"
"341","Fuller Theological Seminary in California",34.1478,-118.1403,NA,FALSE,FALSE,FALSE,"78"
"342","Fullerton College",33.8768,-117.917,NA,FALSE,FALSE,FALSE,"NULL"
"343","Gavilan College",36.9733,-121.5682,NA,FALSE,TRUE,FALSE,"NULL"
"344","Gemological Institute of America-Carlsbad",33.1313,-117.3188,NA,FALSE,FALSE,FALSE,"NULL"
"345","Glendale Community College",34.1664,-118.2283,NA,FALSE,FALSE,FALSE,"NULL"
"346","Glendale Career College",34.1496,-118.2549,100,FALSE,FALSE,FALSE,"NULL"
"347","Golden Gate University-San Francisco",37.7892,-122.3988,NA,FALSE,FALSE,FALSE,"NULL"
"348","Golden West College",33.7338,-118.003,NA,FALSE,FALSE,FALSE,"NULL"
"349","Graduate Theological Union",37.8755,-122.2618,NA,FALSE,FALSE,FALSE,"NULL"
"350","Grossmont College",32.8161,-117.0073,NA,FALSE,FALSE,FALSE,"NULL"
"351","Salon Success Academy-San Bernardino",34.136,-117.2876,NA,FALSE,FALSE,FALSE,"NULL"
"352","Hartnell College",36.6731,-121.6688,NA,FALSE,FALSE,FALSE,"NULL"
"353","Harvey Mudd College",34.1061,-117.7106,18.17,FALSE,FALSE,FALSE,"NULL"
"354","Heald College-Rancho Cordova",38.5944,-121.2801,NA,FALSE,FALSE,FALSE,"NULL"
"355","Heald College-Fresno",36.8224,-119.7955,NA,FALSE,FALSE,FALSE,"NULL"
"356","Heald College-San Jose",37.4109,-121.8939,NA,FALSE,FALSE,FALSE,"NULL"
"357","Heald College-San Francisco",37.7819,-122.4043,NA,FALSE,FALSE,FALSE,"NULL"
"358","Heald College-Concord",38.0189,-122.03,NA,FALSE,FALSE,FALSE,"NULL"
"359","Hilltop Beauty School",37.7055,-122.4617,NA,FALSE,FALSE,FALSE,"NULL"
"360","Holy Names University",37.8027,-122.1872,56.68,FALSE,FALSE,FALSE,"30"
"361","Pacifica Graduate Institute",34.4205,-119.5803,NA,FALSE,FALSE,FALSE,"NULL"
"362","Humboldt State University",40.8741,-124.0814,80.18,FALSE,FALSE,FALSE,"NULL"
"363","Humphreys College-Stockton and Modesto Campuses",38.0111,-121.3164,NA,FALSE,FALSE,FALSE,"NULL"
"364","Imperial Valley College",32.8276,-115.5039,NA,FALSE,TRUE,FALSE,"NULL"
"365","Institute for Business and Technology",37.3686,-121.9695,NA,FALSE,FALSE,FALSE,"NULL"
"366","Interior Designers Institute",33.6414,-117.8657,NA,FALSE,FALSE,FALSE,"NULL"
"367","Toni & Guy Hairdressing Academy-Santa Monica",34.0175,-118.4949,NA,FALSE,FALSE,FALSE,"NULL"
"368","Irvine Valley College",33.6751,-117.7786,NA,FALSE,FALSE,FALSE,"NULL"
"369","ITT Technical Institute-National City",32.8071,-117.1197,92.98,FALSE,FALSE,FALSE,"NULL"
"370","ITT Technical Institute-San Dimas",34.1024,-117.8184,96.17,FALSE,FALSE,FALSE,"NULL"
"371","ITT Technical Institute-Orange",33.7812,-117.8963,91,FALSE,FALSE,FALSE,"NULL"
"372","Bellus Academy-El Cajon",32.7948,-116.9457,NA,FALSE,FALSE,FALSE,"NULL"
"373","John F Kennedy University",37.8818,-122.184,NA,FALSE,FALSE,FALSE,"NULL"
"374","American Jewish University",34.1281,-118.4718,59,FALSE,FALSE,FALSE,"80"
"375","Reedley College",36.606,-119.4599,NA,FALSE,TRUE,FALSE,"NULL"
"376","Life Pacific College",34.0894,-117.831,74.82,FALSE,FALSE,FALSE,"79"
"377","The Art Institute of California-Argosy University San Diego",32.7783,-117.1554,NA,FALSE,FALSE,FALSE,"NULL"
"378","University of La Verne",34.1009,-117.7726,38.95,FALSE,FALSE,FALSE,"NULL"
"379","Laguna College of Art and Design",33.5614,-117.7726,43.27,FALSE,FALSE,FALSE,"NULL"
"380","Lake Tahoe Community College",38.9269,-119.9716,NA,FALSE,FALSE,FALSE,"NULL"
"381","Lancaster Beauty School",34.6956,-118.1487,NA,FALSE,FALSE,FALSE,"NULL"
"382","Laney College",37.7962,-122.2624,NA,FALSE,FALSE,FALSE,"NULL"
"383","Lassen Community College",40.4313,-120.6312,NA,FALSE,FALSE,FALSE,"NULL"
"384","Life Chiropractic College West",37.6376,-122.1163,NA,FALSE,FALSE,FALSE,"NULL"
"385","Lincoln University",37.8048,-122.2697,NA,FALSE,FALSE,FALSE,"NULL"
"386","Southern California Seminary",32.8033,-116.9005,NA,FALSE,FALSE,FALSE,"54"
"387","La Sierra University",33.9088,-117.4971,46.77,FALSE,FALSE,FALSE,"95"
"388","Loma Linda University",34.0515,-117.2611,NA,FALSE,FALSE,FALSE,"95"
"389","Long Beach City College",33.8317,-118.1358,NA,FALSE,FALSE,FALSE,"NULL"
"390","Southern California University of Health Sciences",33.9246,-117.9854,NA,FALSE,FALSE,FALSE,"NULL"
"391","Los Angeles Harbor College",33.7842,-118.2819,NA,FALSE,FALSE,FALSE,"NULL"
"392","Los Angeles Pierce College",34.1842,-118.5772,NA,FALSE,FALSE,FALSE,"NULL"
"393","Los Angeles Southwest College",33.9296,-118.3047,NA,FALSE,FALSE,FALSE,"NULL"
"394","Los Angeles Trade Technical College",34.0326,-118.2691,NA,FALSE,FALSE,FALSE,"NULL"
"395","Los Angeles Valley College",34.1764,-118.4214,NA,FALSE,FALSE,FALSE,"NULL"
"396","The Master's College and Seminary",34.3821,-118.5174,61.37,FALSE,FALSE,FALSE,"42"
"397","Los Angeles City College",34.0873,-118.2922,NA,FALSE,TRUE,FALSE,"NULL"
"398","Los Angeles County College of Nursing and Allied Health",34.0616,-118.2114,NA,FALSE,FALSE,FALSE,"NULL"
"399","Los Angeles Mission College",34.3149,-118.4191,NA,FALSE,FALSE,FALSE,"NULL"
"400","Los Medanos College",38.0056,-121.8611,NA,FALSE,TRUE,FALSE,"NULL"
"401","The Art Institute of California-Argosy University San Francisco",37.804,-122.4172,NA,FALSE,FALSE,FALSE,"NULL"
"402","Loyola Marymount University",33.9706,-118.4157,54.12,FALSE,FALSE,FALSE,"30"
"403","Lu Ross Academy",34.278,-119.294,NA,FALSE,FALSE,FALSE,"NULL"
"404","Manchester Beauty College",36.7929,-119.7912,NA,FALSE,FALSE,FALSE,"NULL"
"405","Tulare Beauty College",36.2041,-119.3679,NA,FALSE,FALSE,FALSE,"NULL"
"406","Lyles Fresno College of Beauty",36.8363,-119.7737,NA,FALSE,FALSE,FALSE,"NULL"
"407","Lytles Redwood Empire Beauty College Inc",38.5086,-122.7585,NA,FALSE,FALSE,FALSE,"NULL"
"408","MTI Business College Inc",38.0073,-121.3085,NA,FALSE,FALSE,FALSE,"NULL"
"409","MTI College",38.6614,-121.3426,NA,FALSE,FALSE,FALSE,"NULL"
"410","Kaplan College-Sacramento",38.6445,-121.3805,NA,FALSE,FALSE,FALSE,"NULL"
"411","Kaplan College-San Diego",32.8217,-117.133,NA,FALSE,FALSE,FALSE,"NULL"
"412","Kaplan College-Vista",33.1724,-117.2208,NA,FALSE,FALSE,FALSE,"NULL"
"413","College of Marin",37.955,-122.5499,NA,FALSE,FALSE,FALSE,"NULL"
"414","Marinello Schools of Beauty-Los Angeles",34.0275,-118.2199,NA,FALSE,FALSE,FALSE,"NULL"
"415","Marymount California University",33.7346,-118.3334,NA,FALSE,FALSE,FALSE,"30"
"416","Mendocino College",39.1912,-123.229,NA,FALSE,FALSE,FALSE,"NULL"
"417","Menlo College",37.4529,-122.1814,37.05,FALSE,FALSE,FALSE,"NULL"
"418","Merced College",37.3353,-120.4767,NA,FALSE,FALSE,FALSE,"NULL"
"419","Merritt College",37.7891,-122.1673,NA,FALSE,FALSE,FALSE,"NULL"
"420","Mills College",37.7826,-122.1879,67.98,FALSE,FALSE,TRUE,"NULL"
"421","MiraCosta College",33.1912,-117.3023,NA,FALSE,FALSE,FALSE,"NULL"
"422","Marinello Schools of Beauty-San Francisco",37.7795,-122.4104,NA,FALSE,FALSE,FALSE,"NULL"
"423","Mission College",37.3913,-121.9822,NA,TRUE,FALSE,FALSE,"NULL"
"424","Modern Beauty Academy",34.1954,-119.1814,NA,FALSE,FALSE,FALSE,"NULL"
"425","Kaplan College-North Hollywood",34.1827,-118.3961,NA,FALSE,FALSE,FALSE,"NULL"
"426","Modesto Junior College",37.652,-121.0097,NA,FALSE,FALSE,FALSE,"NULL"
"427","Moler Barber College",37.8268,-122.2651,NA,FALSE,FALSE,FALSE,"NULL"
"428","Monterey Institute of International Studies",36.5998,-121.8968,NA,FALSE,FALSE,FALSE,"NULL"
"429","Monterey Peninsula College",36.5908,-121.8858,NA,FALSE,FALSE,FALSE,"NULL"
"430","Moorpark College",34.3,-118.8366,NA,FALSE,FALSE,FALSE,"NULL"
"431","Mt San Antonio College",34.0438,-117.8437,NA,TRUE,TRUE,FALSE,"NULL"
"432","Mount St Mary's College",34.0821,-118.4805,74.09,FALSE,TRUE,TRUE,"30"
"433","Mt San Jacinto Community College District",33.8074,-116.9701,NA,FALSE,TRUE,FALSE,"NULL"
"434","Mueller College",32.7639,-117.1643,NA,FALSE,FALSE,FALSE,"NULL"
"435","Musicians Institute",34.1015,-118.3377,98.88,FALSE,FALSE,FALSE,"NULL"
"436","Napa Valley College",38.2725,-122.2726,NA,FALSE,FALSE,FALSE,"NULL"
"437","Everest College-San Francisco",37.7845,-122.4048,NA,FALSE,FALSE,FALSE,"NULL"
"438","Everest College-Reseda",34.2008,-118.5267,NA,FALSE,FALSE,FALSE,"NULL"
"439","Everest College-LA Wilshire",34.0613,-118.2993,NA,FALSE,FALSE,FALSE,"NULL"
"440","Everest College-San Jose",37.3028,-121.9507,NA,FALSE,FALSE,FALSE,"NULL"
"441","Everest College-Gardena",33.8931,-118.2929,NA,FALSE,FALSE,FALSE,"NULL"
"442","Everest College-Alhambra",34.0802,-118.1487,NA,FALSE,FALSE,FALSE,"NULL"
"443","Everest College-San Bernardino",34.0598,-117.2822,NA,FALSE,FALSE,FALSE,"NULL"
"444","The National Hispanic University",37.3591,-121.8159,NA,FALSE,FALSE,FALSE,"NULL"
"445","National Holistic Institute",37.8419,-122.2877,NA,FALSE,FALSE,FALSE,"NULL"
"446","National University",32.9095,-117.2442,NA,FALSE,FALSE,FALSE,"NULL"
"447","Newschool of Architecture and Design",32.7133,-117.1533,79.49,FALSE,FALSE,FALSE,"NULL"
"448","Newberry School of Beauty",34.2575,-118.4995,NA,FALSE,FALSE,FALSE,"NULL"
"449","Adrian's College of Beauty Modesto",37.6778,-120.9928,NA,FALSE,FALSE,FALSE,"NULL"
"450","North-West College-Pomona",34.0621,-117.751,100,FALSE,FALSE,FALSE,"NULL"
"451","North-West College-West Covina",34.0721,-117.9496,100,FALSE,FALSE,FALSE,"NULL"
"452","North-West College-Pasadena",34.1469,-118.1393,100,FALSE,FALSE,FALSE,"NULL"
"453","Notre Dame de Namur University",37.5175,-122.2846,87.2,FALSE,TRUE,FALSE,"30"
"454","Occidental College",34.1262,-118.2108,42.39,FALSE,FALSE,FALSE,"NULL"
